# *** THE FIRST MARRIAGE OF DON LUIS LERENA - MONTEVIDEO, 3 SEPTEMBER 1836. ***
#
# *** CORRECTED 14 September 2026, LATER THE SAME DAY: THE BRIDE IS CAROLINA ORIBE, NOT OLIVA. ***
# Everything below was written reading her as OLIVA, which is what FamilySearch's index of this
# petition says. A Catedral baptism of 4 July 1837 - a different book, a different hand - names her
# "Dna CAROLINA ORIBE" standing godmother with her husband. This petition was then re-opened and
# magnified: it reads ORIBE here too. See data/1837-pedro-antonio-lerena.tsv. The Oliva readings
# below are left standing, because the next person meeting that word should know what it is not.
# Found and read 14 September 2026, within the hour of learning that a first marriage existed at all.
# A petition (informacion matrimonial) on the stamped paper of 1836, signed by Luis Lerena himself.
# Index ark 1:1:X4WW-48KX; image ark 3:1:3Q9M-C9B7-J331-G, DeepZoom level 12.
#
# FamilySearch files it under "Colombia, Catholic Church Records, 1576-2019" - a collection mislabel;
# the event place is given correctly as Arquidiocesis de Montevideo, Uruguay.
field	what the petition says	why it matters
Petitioner	"D. LUIS LERENA, natural de esta Ciudad"	Montevideo-born, stated by himself.
His parents	*** "hijo legitimo de D. SANCHO LERENA y de Dona MARIA FERNANDEZ" ***	*** SANCHO IN 1836 - THE EARLIEST AND PLAINEST ATTESTATION THIS ARCHIVE HAS. *** He is now named in FOUR records: this petition of 1836, the second marriage of 1842, the baptism of Alberto Octavio in 1850, and that act's index. Against them, two 1846 entries reading "Francisco" that describe themselves as later transcripts from a legajo. The question raised yesterday morning is closed.
Intended wife	*** "Dona CAROLINA OLIVA, tambien natural de esta Ciudad" ***	*** HER SURNAME. *** The 1842 act called him "viudo de Dona Carolina" and the surname there was not confidently legible - read here as something like Dille or Dulce. It is OLIVA, and she was a Montevideana like him.
The request	"deseando realizarlo segun orden de Nuestra Santa Madre Iglesia ... en atencion a ser ambos nativos de esta Ciudad, y bastante conocidos, se digne V.S. eximirme de la informacion que exige"	He asks to be EXCUSED the usual enquiry on the grounds that both are natives of the city and well enough known - which is a small social fact about the family in 1836.
Signature	*** Signed "Luis Lerena" in his own hand ***	The only signature of this man anywhere in the archive.
Date	Montevideo, 3 September 1836	*** Six years before his second marriage. *** He was about 24; Carolina was dead by March 1842.
#
# *** WHAT THIS OPENS. *** Between September 1836 and March 1842 there is a marriage this archive
# knew nothing about until today. If it produced children they are HALF-SIBLINGS of Luis Eugenio and
# Gilberto - Lerenas of the right surname, born at Montevideo in the late 1830s, and nobody has ever
# looked for them. The next steps are Carolina Oliva's death, and Montevideo baptisms 1837-1841 to
# a Luis Lerena and a Carolina Oliva.
#
# ---- AND THE SEARCH FOR THEIR CHILDREN, RUN THE SAME DAY ----
#
# Two searches, both null:
#   1. Any record with FATHER Lerena and MOTHER Carolina Oliva, worldwide: *** ONE result, and it is
#      a 1928 marriage in Minas Gerais, Brazil, to a Joaquim Alves de Lorena. Not ours. ***
#   2. Any Carolina Oliva in Uruguay, 1830-1850: 1,507 rows, and every Carolina Oliva in them belongs
#      to a LATER generation - a woman who married Antonio Reverditto and bore children from 1879.
#      *** No death for our Carolina, and no child of hers. ***
#
# *** SO THE MARRIAGE OF 1836 LEFT NO TRACE IN THE INDEXED RECORDS AT ALL *** - not a baptism, not a
# burial, nothing but the petition itself. That is a NULL and not an exclusion: Montevideo parish
# registers of 1837-1841 are filmed and un-indexed in large part, and this archive has learned twice
# this week what the indexes miss - a death filed under SERENA, a father filed as "Geraldo Dios".
#
# WHAT IT WOULD TAKE: turning the Montevideo baptism registers for 1837-1841 by hand, the way the
# Rosario registers are being turned. Recorded as the honest size of the job rather than left as a
# hopeful line in an errand.

